"time","Volume.ports[1].m_flow","Volume.ports[1].p","Volume.ports[1].h_outflow","Volume.ports[2].m_flow","Volume.ports[2].p","Volume.ports[2].h_outflow","Volume.portsData[1].diameter","Volume.portsData[1].height","Volume.portsData[1].zeta_out","Volume.portsData[1].zeta_in","Volume.portsData[2].diameter","Volume.portsData[2].height","Volume.portsData[2].zeta_out","Volume.portsData[2].zeta_in","Volume.ports_H_flow[1]","Volume.ports_H_flow[2]","Volume.ports_E_flow[1]","Volume.ports_E_flow[2]","Volume.ports_penetration[1]","Volume.ports_penetration[2]","Volume.portsData_diameter_internal[1]","Volume.portsData_diameter_internal[2]","Volume.portsData_height_internal[1]","Volume.portsData_height_internal[2]","Volume.portsData_zeta_in_internal[1]","Volume.portsData_zeta_in_internal[2]","Volume.portsData_zeta_out_internal[1]","Volume.portsData_zeta_out_internal[2]","Volume.portsData_diameter[1]","Volume.portsData_diameter[2]","Volume.portsData_height[1]","Volume.portsData_height[2]","Volume.portsData_zeta_in[1]","Volume.portsData_zeta_in[2]","Volume.portsData_zeta_out[1]","Volume.portsData_zeta_out[2]","FlowSource.ports[1].m_flow","FlowSource.ports[1].p","FlowSource.ports[1].h_outflow","Sink.ports[1].m_flow","Sink.ports[1].p","Sink.ports[1].h_outflow","Valve.port_b.m_flow","Valve.port_b.p","Valve.port_b.h_outflow","Step1.y"
0,1,26623808.134319786,3000000,-1,201325,3000000,0.025399999999999999,0,0.5,1.04,0.025399999999999999,0,0.5,1.04,3000000,-3000000,159.33433217629423,-159.33433217629423,0.00099999999999994538,0.00099999999999994538,0.025399999999999999,0.025399999999999999,0,0,1.04,1.04,0.5,0.5,0.025399999999999999,0.025399999999999999,0,0,1.04,1.04,0.5,0.5,-1,26623808.134319786,3000000,1,101325,84013.058152596903,-1,101325,3000000,1
0.001,1,26623808.134319786,3000000,-1,201325,3000000,0.025399999999999999,0,0.5,1.04,0.025399999999999999,0,0.5,1.04,3000000,-3000000,159.33433217629423,-159.33433217629423,0.00099999999999994538,0.00099999999999994538,0.025399999999999999,0.025399999999999999,0,0,1.04,1.04,0.5,0.5,0.025399999999999999,0.025399999999999999,0,0,1.04,1.04,0.5,0.5,-1,26623808.134319786,3000000,1,101325,84013.058152596903,-1,101325,3000000,1
0.002,1,26623808.134319786,3000000,-1,201325,3000000,0.025399999999999999,0,0.5,1.04,0.025399999999999999,0,0.5,1.04,3000000,-3000000,159.33433217629423,-159.33433217629423,0.00099999999999994538,0.00099999999999994538,0.025399999999999999,0.025399999999999999,0,0,1.04,1.04,0.5,0.5,0.025399999999999999,0.025399999999999999,0,0,1.04,1.04,0.5,0.5,-1,26623808.134319786,3000000,1,101325,84013.058152596903,-1,101325,3000000,1
0.0030000000000000001,1,26623808.134319786,3000000,-1,201325,3000000,0.025399999999999999,0,0.5,1.04,0.025399999999999999,0,0.5,1.04,3000000,-3000000,159.33433217629423,-159.33433217629423,0.00099999999999994538,0.00099999999999994538,0.025399999999999999,0.025399999999999999,0,0,1.04,1.04,0.5,0.5,0.025399999999999999,0.025399999999999999,0,0,1.04,1.04,0.5,0.5,-1,26623808.134319786,3000000,1,101325,84013.058152596903,-1,101325,3000000,1
0.0040000000000000001,1,26623808.134319786,3000000,-1,201325,3000000,0.025399999999999999,0,0.5,1.04,0.025399999999999999,0,0.5,1.04,3000000,-3000000,159.33433217629423,-159.33433217629423,0.00099999999999994538,0.00099999999999994538,0.025399999999999999,0.025399999999999999,0,0,1.04,1.04,0.5,0.5,0.025399999999999999,0.025399999999999999,0,0,1.04,1.04,0.5,0.5,-1,26623808.134319786,3000000,1,101325,84013.058152596903,-1,101325,3000000,1
0.0050000000000000001,1,26623808.134319786,3000000,-1,201325,3000000,0.025399999999999999,0,0.5,1.04,0.025399999999999999,0,0.5,1.04,3000000,-3000000,159.33433217629423,-159.33433217629423,0.00099999999999994538,0.00099999999999994538,0.025399999999999999,0.025399999999999999,0,0,1.04,1.04,0.5,0.5,0.025399999999999999,0.025399999999999999,0,0,1.04,1.04,0.5,0.5,-1,26623808.134319786,3000000,1,101325,84013.058152596903,-1,101325,3000000,1
0.0060000000000000001,1,26623808.134319786,3000000,-1,201325,3000000,0.025399999999999999,0,0.5,1.04,0.025399999999999999,0,0.5,1.04,3000000,-3000000,159.33433217629423,-159.33433217629423,0.00099999999999994538,0.00099999999999994538,0.025399999999999999,0.025399999999999999,0,0,1.04,1.04,0.5,0.5,0.025399999999999999,0.025399999999999999,0,0,1.04,1.04,0.5,0.5,-1,26623808.134319786,3000000,1,101325,84013.058152596903,-1,101325,3000000,1
0.0070000000000000001,1,26623808.134319786,3000000,-1,201325,3000000,0.025399999999999999,0,0.5,1.04,0.025399999999999999,0,0.5,1.04,3000000,-3000000,159.33433217629423,-159.33433217629423,0.00099999999999994538,0.00099999999999994538,0.025399999999999999,0.025399999999999999,0,0,1.04,1.04,0.5,0.5,0.025399999999999999,0.025399999999999999,0,0,1.04,1.04,0.5,0.5,-1,26623808.134319786,3000000,1,101325,84013.058152596903,-1,101325,3000000,1
0.0080000000000000002,1,26623808.134319786,3000000,-1,201325,3000000,0.025399999999999999,0,0.5,1.04,0.025399999999999999,0,0.5,1.04,3000000,-3000000,159.33433217629423,-159.33433217629423,0.00099999999999994538,0.00099999999999994538,0.025399999999999999,0.025399999999999999,0,0,1.04,1.04,0.5,0.5,0.025399999999999999,0.025399999999999999,0,0,1.04,1.04,0.5,0.5,-1,26623808.134319786,3000000,1,101325,84013.058152596903,-1,101325,3000000,1
0.0090000000000000011,1,26623808.134319786,3000000,-1,201325,3000000,0.025399999999999999,0,0.5,1.04,0.025399999999999999,0,0.5,1.04,3000000,-3000000,159.33433217629423,-159.33433217629423,0.00099999999999994538,0.00099999999999994538,0.025399999999999999,0.025399999999999999,0,0,1.04,1.04,0.5,0.5,0.025399999999999999,0.025399999999999999,0,0,1.04,1.04,0.5,0.5,-1,26623808.134319786,3000000,1,101325,84013.058152596903,-1,101325,3000000,1
